run_id,category,gummy_family,H_mm,rho_kg_m3,lambda,container_type,N_inserted,N_retained,retention_pct,phi_deepbed,wall_time_hr,passed_90pct_gate,aspherix_input_deck_path,raw_output_path
DN01,DOE,DoryNew,10.0,1425.0,8.0,cylinder,150,150,100.0,0.5179,0.3331,True,/home/health/fd2997/cylinder_doe/runs/DN01/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN01
DN02,DOE,DoryNew,10.0,1650.0,8.0,cylinder,150,150,100.0,0.5024,0.3319,True,/home/health/fd2997/cylinder_doe/runs/DN02/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN02
DN03,DOE,DoryNew,11.0,1425.0,8.0,cylinder,150,150,100.0,0.5131,0.3461,True,/home/health/fd2997/cylinder_doe/runs/DN03/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN03
DN04,DOE,DoryNew,11.0,1650.0,8.0,cylinder,150,150,100.0,0.5125,0.3622,True,/home/health/fd2997/cylinder_doe/runs/DN04/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN04
DN05,DOE,DoryNew,12.0,1425.0,8.0,cylinder,150,150,100.0,0.523,0.2742,True,/home/health/fd2997/cylinder_doe/runs/DN05/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN05
DN06,DOE,DoryNew,12.0,1650.0,8.0,cylinder,150,150,100.0,0.5205,0.29,True,/home/health/fd2997/cylinder_doe/runs/DN06/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN06
DN07,DOE,DoryNew,13.0,1425.0,8.0,cylinder,150,150,100.0,0.5138,0.3414,True,/home/health/fd2997/cylinder_doe/runs/DN07/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN07
DN08,DOE,DoryNew,13.0,1650.0,8.0,cylinder,150,150,100.0,0.4958,0.3383,True,/home/health/fd2997/cylinder_doe/runs/DN08/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN08
DN09,DOE,DoryNew,14.0,1425.0,8.0,cylinder,150,150,100.0,0.5094,0.3872,True,/home/health/fd2997/cylinder_doe/runs/DN09/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN09
DN10,DOE,DoryNew,14.0,1650.0,8.0,cylinder,150,150,100.0,0.5134,0.3881,True,/home/health/fd2997/cylinder_doe/runs/DN10/packing.asx,/home/health/fd2997/cylinder_doe/runs/DN10
