id,family,H,rho,count,seed,role
EC01,EC,6.5,1425.0,150,42,grid
EC02,EC,6.5,1650.0,150,42,grid
EC03,EC,7.5,1425.0,150,42,grid
EC04,EC,7.5,1650.0,150,42,grid
EC05,EC,8.5,1425.0,150,42,grid
EC06,EC,8.5,1650.0,150,42,grid
EC07,EC,9.5,1425.0,150,42,grid
EC08,EC,9.5,1650.0,150,42,grid
EC09,EC,10.5,1425.0,150,42,grid
EC10,EC,10.5,1650.0,150,42,grid
EC11,EC,11.5,1425.0,150,42,grid
EC12,EC,11.5,1650.0,150,42,grid
EC13,EC,9.5,1425.0,150,100,replicate
EC14,EC,9.5,1425.0,150,101,replicate
EC15,EC,9.5,1425.0,150,102,replicate
DN01,DoryNew,10.0,1425.0,150,42,grid
DN02,DoryNew,10.0,1650.0,150,42,grid
DN03,DoryNew,11.0,1425.0,150,42,grid
DN04,DoryNew,11.0,1650.0,150,42,grid
DN05,DoryNew,12.0,1425.0,150,42,grid
DN06,DoryNew,12.0,1650.0,150,42,grid
DN07,DoryNew,13.0,1425.0,150,42,grid
DN08,DoryNew,13.0,1650.0,150,42,grid
DN09,DoryNew,14.0,1425.0,150,42,grid
DN10,DoryNew,14.0,1650.0,150,42,grid
DN11,DoryNew,15.0,1425.0,150,42,grid
DN12,DoryNew,15.0,1650.0,150,42,grid
DN13,DoryNew,13.0,1425.0,150,100,replicate
DN14,DoryNew,13.0,1425.0,150,101,replicate
DN15,DoryNew,13.0,1425.0,150,102,replicate
QC1,EC,9.5,1425.0,40,42,count-val
QC2,EC,9.5,1425.0,90,42,count-val
QC3,EC,9.5,1425.0,150,42,count-val
QC4,DoryNew,13.0,1425.0,40,42,count-val
QC5,DoryNew,13.0,1425.0,90,42,count-val
QC6,DoryNew,13.0,1425.0,150,42,count-val
