run_id,family,H_mm,density_kgm3,N_created,N_settled_in,N_leaked,leak_pct,cyl_R_mm,bed_height_mm,solid_fraction_phi,bulk_density_kgm3,V_bed_cc,V_solid_cc,bed_over_diameter,layers_deep,gummies_across,radial_fill_frac,surface_roughness_mm,final_vtk
LAM_DN_d3,DoryNew,13.0,1425.0,38,38,0,0.0,29.16,72.07,0.5351,762.6,192.47,103.0,1.236,5.54,3.0,0.701,2.57,particles1000000.vtk
LAM_DN_d4,DoryNew,13.0,1425.0,68,68,0,0.0,38.87,72.63,0.5346,761.8,344.74,184.31,0.934,5.59,4.0,0.811,2.51,particles1000000.vtk
LAM_DN_d5,DoryNew,13.0,1425.0,107,107,0,0.0,48.59,69.22,0.5649,805.0,513.4,290.01,0.712,5.32,5.0,0.867,2.62,particles1000000.vtk
LAM_DN_d6,DoryNew,13.0,1425.0,154,154,0,0.0,58.31,67.4,0.5797,826.1,719.97,417.4,0.578,5.18,6.0,0.891,2.47,particles1000000.vtk
LAM_DN_d250,DoryNew,13.0,1425.0,27,27,0,0.0,24.3,75.6,0.5221,743.9,140.18,73.18,1.556,5.82,2.5,0.698,0.84,particles1200000.vtk
LAM_DN_d275,DoryNew,13.0,1425.0,32,32,0,0.0,26.73,77.51,0.4987,710.7,173.91,86.73,1.45,5.96,2.75,0.678,1.22,particles1200000.vtk
LAM_EC_d3,EC,9.5,1425.0,38,38,0,0.0,27.1,53.81,0.5366,764.6,124.16,66.62,0.993,5.66,3.0,0.691,2.6,particles1000000.vtk
LAM_EC_d4,EC,9.5,1425.0,67,67,0,0.0,36.13,51.49,0.5561,792.5,211.21,117.46,0.712,5.42,4.0,0.857,1.73,particles1000000.vtk
LAM_EC_d5,EC,9.5,1425.0,104,104,0,0.0,45.17,51.34,0.554,789.5,329.08,182.33,0.568,5.4,5.0,0.891,2.28,particles1000000.vtk
LAM_EC_d6,EC,9.5,1425.0,150,150,0,0.0,54.2,49.22,0.5788,824.8,454.33,262.97,0.454,5.18,6.0,0.912,1.74,particles1000000.vtk
LAM_EC_d250,EC,9.5,1425.0,26,26,0,0.0,22.59,53.92,0.5276,751.8,86.4,45.58,1.194,5.68,2.5,0.744,1.75,particles1200000.vtk
LAM_EC_d275,EC,9.5,1425.0,32,32,0,0.0,24.84,54.77,0.5282,752.7,106.21,56.1,1.102,5.76,2.75,0.734,1.54,particles1200000.vtk
