run_id,family,H_mm,density_kgm3,N_created,N_settled_in,N_leaked,leak_pct,cyl_R_mm,bed_height_mm,solid_fraction_phi,bulk_density_kgm3,V_bed_cc,V_solid_cc,bed_over_diameter,layers_deep,gummies_across,radial_fill_frac,surface_roughness_mm,final_vtk
DN01,DoryNew,10.0,1425.0,150,150,0,0.0,73.05,31.81,0.5179,737.9,533.21,276.13,0.218,3.18,8.0,0.932,1.43,particles400000.vtk
DN02,DoryNew,10.0,1650.0,150,150,0,0.0,73.05,32.78,0.5024,829.0,549.61,276.13,0.224,3.28,8.0,0.933,1.65,particles400000.vtk
DN03,DoryNew,11.0,1425.0,150,150,0,0.0,74.61,35.31,0.5131,731.2,617.6,316.89,0.237,3.21,8.0,0.928,1.78,particles400000.vtk
DN04,DoryNew,11.0,1650.0,150,150,0,0.0,74.61,35.35,0.5125,845.6,618.33,316.89,0.237,3.21,8.0,0.929,2.27,particles400000.vtk
DN05,DoryNew,12.0,1425.0,150,150,0,0.0,76.18,37.79,0.523,745.3,688.97,360.34,0.248,3.15,8.0,0.924,1.89,particles400000.vtk
DN06,DoryNew,12.0,1650.0,150,150,0,0.0,76.18,37.97,0.5205,858.8,692.31,360.34,0.249,3.16,8.0,0.924,1.04,particles400000.vtk
DN07,DoryNew,13.0,1425.0,150,150,0,0.0,77.75,41.67,0.5138,732.2,791.3,406.56,0.268,3.21,8.0,0.92,2.08,particles400000.vtk
DN08,DoryNew,13.0,1650.0,150,150,0,0.0,77.75,43.18,0.4958,818.1,819.94,406.56,0.278,3.32,8.0,0.921,1.89,particles400000.vtk
DN09,DoryNew,14.0,1425.0,150,150,0,0.0,79.31,45.26,0.5094,726.0,894.36,455.63,0.285,3.23,8.0,0.917,2.4,particles400000.vtk
DN10,DoryNew,14.0,1650.0,150,150,0,0.0,79.31,44.91,0.5134,847.0,887.55,455.63,0.283,3.21,8.0,0.917,1.61,particles400000.vtk
DN11,DoryNew,15.0,1425.0,150,150,0,0.0,80.87,48.99,0.5043,718.6,1006.56,507.62,0.303,3.27,8.0,0.913,2.24,particles400000.vtk
DN12,DoryNew,15.0,1650.0,150,150,0,0.0,80.87,49.05,0.5037,831.2,1007.69,507.62,0.303,3.27,8.0,0.913,2.49,particles400000.vtk
DN13,DoryNew,13.0,1425.0,150,150,0,0.0,77.75,42.14,0.5081,724.0,800.19,406.56,0.271,3.24,8.0,0.918,1.55,particles400000.vtk
DN14,DoryNew,13.0,1425.0,150,150,0,0.0,77.75,42.08,0.5088,725.0,799.05,406.56,0.271,3.24,8.0,0.92,2.25,particles400000.vtk
DN15,DoryNew,13.0,1425.0,150,150,0,0.0,77.75,41.64,0.5142,732.8,790.6,406.56,0.268,3.2,8.0,0.92,1.61,particles400000.vtk
EC01,EC,6.5,1425.0,150,150,0,0.0,67.58,21.27,0.5156,734.7,305.12,157.32,0.157,3.27,8.0,0.95,1.34,particles400000.vtk
EC02,EC,6.5,1650.0,150,150,0,0.0,67.58,20.91,0.5245,865.4,299.94,157.32,0.155,3.22,8.0,0.948,1.0,particles400000.vtk
EC03,EC,7.5,1425.0,150,150,0,0.0,69.14,24.2,0.5227,744.9,363.53,190.03,0.175,3.23,8.0,0.946,0.98,particles400000.vtk
EC04,EC,7.5,1650.0,150,150,0,0.0,69.14,25.32,0.4997,824.5,380.27,190.03,0.183,3.38,8.0,0.945,1.23,particles400000.vtk
EC05,EC,8.5,1425.0,150,150,0,0.0,70.71,28.64,0.5006,713.3,449.93,225.22,0.203,3.37,8.0,0.94,1.46,particles400000.vtk
